Designator,Mid X,Mid Y,Rotation,Layer
BZ1,194.25,-94.85,0.0,top
C1,67.205,-104.715,0.0,top
C10,65.3,-93.3,0.0,top
C11,65.4,-88.4,180.0,top
C2,60.155,-107.565,270.0,top
C3,86.9,-92.8,90.0,top
C4,88.4,-92.8,90.0,top
C5,75.1,-101.4,270.0,top
C6,82.2,-105.305,0.0,top
C7,82.2,-103.805,0.0,top
C8,76.6,-89.6,180.0,top
C9,76.6,-91.1,180.0,top
D1,193.15,-107.43,90.0,top
D2,80.0,-87.4,0.0,top
F1,74.1,-85.4,180.0,top
J1,80.5,-79.0,180.0,top
J2,127.55,-81.0,90.0,top
J3,168.89,-81.0,90.0,top
J4,194.5,-83.5,270.0,top
J5,197.475,-106.65,270.0,top
Q1,62.755,-106.065,90.0,top
Q2,189.6,-108.3,90.0,top
R1,82.1,-84.8,0.0,top
R2,78.4,-84.8,180.0,top
R3,67.755,-106.465,90.0,top
R4,66.555,-106.465,90.0,top
R5,60.2,-104.0,90.0,top
R6,184.65,-109.645,270.0,top
R7,184.65,-114.205,90.0,top
SW1,64.755,-101.265,0.0,top
U1,65.4,-90.9,270.0,top
U2,81.0,-97.0,0.0,top
